CustomerID,Recency,Frequency,Monetary,Churn,PredictedChurn_random_forest
12347.0,1,7,76045.29000000001,0,0
12348.0,248,2,6394.28,1,1
12349.0,18,1,5911.06,0,0
12350.0,309,1,1575.45,1,1
12352.0,79,3,8899.23,0,0
12354.0,231,1,15926.49,1,1
12355.0,213,1,11380.81,1,1
12356.0,245,2,6354.220000000001,1,1
12357.0,32,1,29611.67,0,0
12358.0,1,2,7892.4400000000005,0,0
12359.0,57,4,55097.14,0,0
12360.0,51,3,47411.06,0,0
12362.0,2,9,48809.72,0,0
12363.0,109,2,6780.98,0,0
12364.0,7,3,17903.41,0,0
12365.0,290,1,4513.87,1,1
12370.0,50,3,37204.77,0,0
12371.0,59,1,18500.07,0,0
12372.0,212,2,4377.49,1,1
12373.0,310,1,9385.27,1,1
12374.0,24,1,5903.950000000001,0,0
12375.0,10,2,5572.150000000001,0,0
12377.0,314,2,24553.52,1,1
12378.0,129,1,40261.85,0,0
12379.0,169,1,2923.8,0,0
12380.0,21,4,55474.700000000004,0,0
12381.0,32,2,15229.3,0,0
12383.0,237,4,22144.29,1,1
12384.0,28,2,15343.81,0,0
12386.0,366,1,2256.66,1,1
12388.0,75,2,18377.36,0,0
12390.0,79,1,15346.43,0,0
12391.0,21,1,31872.33,0,0
12393.0,71,3,6169.4,0,0
12394.0,63,2,8076.87,0,0
12395.0,30,9,28796.5,0,0
12397.0,35,2,23739.82,0,0
12398.0,45,1,39844.03,0,0
12399.0,118,3,23280.96,0,0
12402.0,322,1,1737.79,1,1
12405.0,148,1,11610.150000000001,0,0
12406.0,21,2,17854.260000000002,0,0
12407.0,49,4,22056.93,0,0
12408.0,32,4,31154.08,0,0
12409.0,78,2,24050.81,0,0
12410.0,308,1,6181.01,1,1
12412.0,74,3,32507.190000000002,0,0
12413.0,66,3,12646.96,0,0
12414.0,216,2,4031.7200000000003,1,1
12415.0,24,11,152959.8,0,0
12417.0,2,9,46553.69,0,0
12418.0,112,1,4904.0599999999995,0,0
12420.0,63,1,1720.26,0,0
12422.0,167,2,9941.62,0,0
12423.0,100,4,26769.86,0,0
12424.0,162,1,3956.68,0,0
12425.0,77,1,25231.170000000002,0,0
12426.0,194,1,2143.68,1,1
12427.0,21,3,12022.46,0,0
12428.0,25,7,55765.7,0,0
12429.0,8,3,40696.56,0,0
12431.0,35,11,56788.69,0,0
12432.0,42,3,30587.12,0,0
12433.0,0,6,90860.01,0,0
12434.0,84,2,12649.17,0,0
12435.0,79,2,8753.83,0,0
12436.0,99,1,1406.7,0,0
12437.0,8,10,62050.29,0,0
12438.0,13,2,31609.74,0,0
12441.0,366,1,7645.93,1,1
12442.0,2,1,2192.1200000000003,0,0
12444.0,20,5,47451.11,0,0
12446.0,57,1,13571.78,0,0
12447.0,242,1,3022.08,1,1
12448.0,43,1,11423.380000000001,0,0
12449.0,21,4,62472.24,0,0
12450.0,172,1,12768.239999999998,0,0
12451.0,10,5,54685.68,0,0
12452.0,16,1,6523.1,0,0
12453.0,133,1,9936.8,0,0
12454.0,55,1,166.86,0,0
12455.0,72,4,34024.3,0,0
12456.0,43,3,19143.510000000002,0,0
12457.0,85,3,14680.869999999999,0,0
12458.0,70,2,3031.9,0,0
12461.0,154,1,12000.119999999999,0,0
12462.0,18,2,9923.94,0,0
12463.0,52,3,7189.99,0,0
12464.0,105,1,7543.08,0,0
12465.0,16,1,12344.7,0,0
12468.0,187,2,16935.16,1,1
12471.0,1,20,111197.76,0,0
12472.0,51,5,71931.14,0,0
12473.0,53,3,57530.9,0,0
12474.0,16,13,91355.97,0,0
12475.0,53,1,13405.279999999999,0,0
12476.0,15,7,70869.1,0,0
12477.0,22,5,55966.82,0,0
12478.0,3,1,3765.99,0,0
12479.0,10,1,4879.3099999999995,0,0
12480.0,27,4,58026.07,0,0
12481.0,65,8,37272.15,0,0
12483.0,40,5,12126.210000000001,0,0
12484.0,34,4,74623.78,0,0
12488.0,9,3,12991.84,0,0
12489.0,335,1,1320.23,1,1
12490.0,4,10,29556.91,0,0
12491.0,38,1,16417.11,0,0
12492.0,62,1,358.32,0,0
12493.0,165,2,6958.7699999999995,0,0
12494.0,15,5,18407.19,0,0
12497.0,81,1,7976.88,0,0
12498.0,20,2,4950.99,0,0
12500.0,49,3,20570.75,0,0
12501.0,336,1,36167.91,1,1
12502.0,95,5,29662.91,0,0
12504.0,17,2,5754.719999999999,0,0
12506.0,232,1,3766.56,1,1
12507.0,298,1,6945.8099999999995,1,1
12508.0,25,2,12344.81,0,0
12510.0,142,2,17593.82,0,0
12512.0,65,2,18173.95,0,0
12513.0,112,1,3549.7599999999998,0,0
12514.0,266,1,16059.26,1,1
12515.0,352,1,2645.67,1,1
12516.0,77,1,1058.27,0,0
12517.0,27,4,89453.82,0,0
12518.0,0,5,36824.84,0,0
12520.0,78,5,41918.19,0,0
12521.0,142,1,13721.63,0,0
12522.0,50,1,4546.29,0,0
12523.0,43,4,12227.119999999999,0,0
12524.0,63,6,24872.75,0,0
12526.0,0,3,15854.480000000001,0,0
12528.0,8,5,18573.9,0,0
12530.0,59,3,9154.0,0,0
12531.0,14,1,134.60999999999999,0,0
12532.0,29,1,13572.1,0,0
12534.0,130,1,16404.56,0,0
12535.0,91,2,13990.119999999999,0,0
12536.0,42,2,69859.3,0,0
12538.0,28,1,2888.36,0,0
12539.0,21,4,71970.88,0,0
12540.0,30,16,124115.76,0,0
12541.0,29,3,13377.75,0,0
12544.0,35,1,3786.6499999999996,0,0
12545.0,74,2,18684.35,0,0
12546.0,46,2,32143.93,0,0
12548.0,165,1,297.16,0,0
12550.0,78,1,12467.37,0,0
12552.0,39,1,5924.099999999999,0,0
12553.0,7,8,48468.619999999995,0,0
12556.0,49,2,33140.020000000004,0,0
12557.0,157,2,2576.77,0,0
12558.0,7,1,397.79,0,0
