CustomerID,frequency,recency,T,monetary_value,predicted_purchases,predicted_purchases_30d,predicted_monetary,predicted_sales_next_30d
14096.0,16.0,97.0,101.0,807006.890625,2.9699026898640435,2.5605756421240495,693845.4704835584,1776643.8111183008
17841.0,111.0,372.0,373.0,179060.50837837838,7.5907865915961725,7.028485741066727,176079.34835324762,1237571.189197122
14911.0,131.0,372.0,373.0,112365.3610687023,8.948418252667699,8.273204588253071,111253.53428252458,920423.2502855526
12748.0,113.0,373.0,373.0,104278.21353982302,7.726615664944956,7.153113183529745,103193.13159249385,738152.1500439876
14606.0,88.0,372.0,373.0,77753.84113636364,6.029510033484201,5.597056247019189,77204.47984184572,432117.81619666965
15311.0,89.0,373.0,373.0,66121.18247191011,6.097441620129737,5.659413040137131,65939.70735949899,373180.03969317494
14646.0,44.0,353.0,354.0,121824.94227272728,3.1794135208231045,2.975952684978485,118071.87865826364,351376.3243135135
13089.0,65.0,367.0,369.0,71508.59938461539,4.5090037744930695,4.200375569622469,71036.05114865045,298378.0938072435
13263.0,32.0,324.0,325.0,128822.2615625,2.4996405789992666,2.345346006284726,123203.5115988033,288954.86388850724
14456.0,7.0,137.0,142.0,339034.39857142855,1.1128075919613323,1.0666881901181107,258225.08894840407,275445.6527734613
14298.0,24.0,352.0,360.0,160893.30250000002,1.7360638772310035,1.658302191816418,150188.4054437346,249057.76193275795
16360.0,5.0,84.0,88.0,324025.302,1.113487298346367,1.05417836387223,228106.73654609785,240465.18632039923
14156.0,42.0,362.0,371.0,88690.02571428572,2.9198974231224275,2.7448466369604914,86880.59183465666,238473.90031449447
15039.0,41.0,359.0,368.0,89270.61975609757,2.871294959679246,2.6992358553131863,87382.09715320429,235864.88974838934
16910.0,7.0,87.0,91.0,187419.61285714287,1.467683891732875,1.3386090834579658,150563.8361828401,201546.11875462692
18118.0,25.0,359.0,369.0,120228.7952,1.7688428055872498,1.6897144158407373,114079.75183674248,192762.2012340776
16764.0,12.0,140.0,143.0,129404.35083333333,1.8152596839404334,1.6579342168065416,116110.274275234,192503.1966437028
14056.0,22.0,283.0,284.0,109477.99590909091,1.9400377428446705,1.8266769601088926,103822.82338190643,189650.7594051833
13521.0,2.0,9.0,10.0,376872.935,1.0740317383562579,0.9847375222726339,190628.80615541775,187719.3382472763
15005.0,27.0,351.0,366.0,104435.72370370371,1.9188201498259507,1.826221707081566,100210.18368963801,183006.01272464803
16033.0,17.0,364.0,369.0,169145.36529411766,1.2209545330110987,1.1879545268759033,153479.34279848158,182326.48005939476
14159.0,10.0,343.0,362.0,285573.11699999997,0.7534401332840397,0.7593671471461725,235500.76582227298,178831.5446931983
14796.0,16.0,365.0,366.0,169626.764375,1.1604383661444595,1.132416812568817,153057.04350467378,173324.36934676944
15993.0,4.0,36.0,44.0,212881.6175,1.2816467610289737,1.1599503450488984,149292.39246937013,173171.76215802145
14769.0,7.0,355.0,357.0,382454.7485714285,0.5511020946472506,0.5747501222087713,289057.7630474104,166135.9846368932
14527.0,53.0,367.0,369.0,46942.93339622642,3.68699509640356,3.4473090954385484,47625.69863391742,164180.50407731876
17813.0,4.0,57.0,71.0,224025.12,1.0342374314810483,0.985359273028266,155792.1424913778,153511.23226882005
17511.0,27.0,371.0,373.0,87170.75185185185,1.8887289412221027,1.8005744474161,84597.70783296622,152324.47103401183
16549.0,7.0,324.0,334.0,329455.06142857147,0.5825323136674743,0.6044198272142071,251422.827331208,151964.94185323617
14547.0,7.0,51.0,54.0,102591.5157142857,1.9094692172541674,1.6424008129738994,90327.63187668947,148354.1760282819
13081.0,8.0,360.0,371.0,301981.8275,0.601717068025966,0.6203517352540221,238367.36595562115,147871.60909850008
16931.0,19.0,364.0,369.0,120378.2194736842,1.3579495148574354,1.313467372285231,112521.71794701467,147793.60519688527
15719.0,12.0,305.0,337.0,180286.9491666667,0.9474070708319126,0.9356039307451939,157205.92951123184,147082.4855871604
17811.0,37.0,329.0,333.0,53806.70945945946,2.822989074982549,2.6420282114444427,54271.42251476094,143386.6293592195
16729.0,18.0,203.0,241.0,85545.96055555556,1.819222884287625,1.7003023929361767,82085.284177993,139569.80511268758
15555.0,15.0,357.0,369.0,144727.918,1.0838965430867658,1.0622054057769748,131214.9165439429,139377.19367155075
14432.0,5.0,80.0,89.0,163817.456,1.1063493845291412,1.0483377854262736,126164.86364349566,132263.39375063003
